Designator,Mid X,Mid Y,Rotation,Layer
_5,183.6,-82.4,90.0,top
_4,139.5,-60.425,180.0,top
_3,183.76,-95.74,90.0,top
_2,98.875,-81.0,270.0,top
,102.675,-66.85,180.0,bottom
C1,133.11,-88.0825,270.0,top
C10,151.975,-111.4325,180.0,top
C11,134.525,-115.42,90.0,top
C12,114.225,-109.8225,90.0,top
C13,162.875,-91.65,90.0,top
C14,136.83,-111.3925,180.0,top
C15,165.71,-83.71,0.0,bottom
C16,155.91,-80.1625,270.0,top
C17,153.23,-73.3675,270.0,top
C18,165.35,-72.325,0.0,top
C19,180.76,-67.415,270.0,top
C2,163.8875,-115.7,270.0,top
C20,162.425,-67.2725,270.0,top
C21,149.475,-81.6725,90.0,top
C22,149.425,-78.0425,270.0,top
C23,151.75,-81.6225,0.0,top
C25,109.975,-89.5,180.0,top
C26,109.975,-87.45,180.0,top
C27,112.1425,-98.11,90.0,top
C28,116.6025,-91.58,180.0,top
C29,124.1625,-98.57,90.0,top
C3,154.93,-115.6875,270.0,top
C30,123.7225,-94.99,0.0,top
C31,110.8125,-94.34,270.0,top
C32,121.8225,-98.575,90.0,top
C33,114.575,-103.4725,0.0,top
C34,109.2,-103.5225,180.0,top
C35,111.075,-110.0225,90.0,top
C36,118.075,-109.6475,270.0,top
C37,130.15,-106.8725,0.0,top
C38,129.325,-108.8725,0.0,top
C39,129.325,-110.4725,180.0,top
C4,136.45,-84.1725,0.0,top
C41,151.525,-79.7725,180.0,top
C42,174.71,-118.4425,0.0,top
C43,174.625,-116.65,0.0,top
C44,101.965,-95.06,180.0,top
C45,98.985,-95.07,0.0,top
C46,161.05,-91.825,270.0,top
C47,174.33,-81.48,180.0,top
C48,173.84,-83.01,0.0,top
C49,179.475,-73.825,0.0,top
C5,169.6175,-114.17,90.0,top
C50,182.725,-75.175,270.0,top
C51,171.55,-77.08,270.0,top
C52,172.96,-77.61,90.0,bottom
C6,160.665,-114.175,90.0,top
C7,151.97,-109.6425,180.0,top
C8,135.675,-81.6725,90.0,top
C9,143.33,-110.84,90.0,top
D1,155.7925,-109.6025,0.0,top
D10,142.225,-72.025,0.0,top
D11,109.095,-117.9775,270.0,top
D12,119.345,-69.4,180.0,top
D13,166.03,-80.59,90.0,bottom
D14,169.25,-85.7375,90.0,top
D2,163.1625,-87.575,0.0,top
D3,163.1725,-85.72,0.0,top
D6,111.15,-66.4,270.0,top
D7,115.225,-83.375,180.0,top
D8,124.3125,-91.83,0.0,top
D9,126.73,-69.485,180.0,top
FB1,115.95,-86.1625,270.0,top
IC1,100.34,-99.39,90.0,top
J1,99.75,-115.27,270.0,top
J2,145.04,-116.03,0.0,top
J5,161.15,-103.13,0.0,top
J6,166.45,-103.09,0.0,top
L1,128.7625,-98.6811,270.0,top
L2,175.32,-77.18,90.0,top
Q1,166.81,-76.4475,180.0,bottom
Q2,113.875,-80.4375,270.0,top
Q3,137.4375,-65.075,180.0,top
Q4,100.29,-105.24,90.0,top
R1,155.175484,-103.47515,90.0,top
R10,165.8725,-85.7,180.0,top
R11,164.2,-74.73,270.0,bottom
R12,165.85,-74.19,0.0,bottom
R13,164.9,-81.4325,90.0,top
R14,109.26,-66.185,90.0,top
R15,112.8,-83.9,90.0,top
R16,110.5425,-98.09,270.0,top
R17,121.6725,-94.94,0.0,top
R18,124.225,-67.275,90.0,top
R19,142.225,-70.2225,180.0,top
R2,133.025,-84.325,270.0,top
R20,106.395,-118.9175,180.0,top
R21,116.775,-67.225,270.0,top
R22,137.505,-67.5725,0.0,top
R23,171.69,-99.3825,90.0,top
R24,133.195,-64.8425,90.0,top
R25,130.525,-81.2475,270.0,top
R26,134.725,-64.8475,90.0,top
R27,132.115,-81.2675,270.0,top
R28,171.68,-101.8725,90.0,top
R29,171.72,-104.3825,90.0,top
R3,137.75,-106.1925,90.0,top
R30,131.1,-91.675,0.0,top
R31,131.075,-92.775,0.0,top
R32,180.725,-80.175,180.0,top
R33,135.035,-113.85,0.0,top
R34,101.22,-91.94,90.0,top
R35,99.79,-91.95,90.0,top
R36,103.715,-100.69,0.0,top
R37,106.2,-113.6,0.0,top
R38,106.35,-117.1175,0.0,top
R4,150.48,-106.2225,90.0,top
R40,169.4,-83.4,180.0,top
R5,169.63,-107.1125,180.0,top
R6,169.64,-108.2225,180.0,top
R7,137.09,-110.0325,0.0,top
R8,158.3925,-109.6025,180.0,top
R9,165.8125,-87.525,180.0,top
SW1,157.630542,-103.37515,90.0,top
SW2,130.724942,-86.502499,90.0,top
U1,144.725,-94.8625,0.0,top
U10,180.05,-77.1125,90.0,top
U2,166.78,-115.94,180.0,top
U3,157.82,-115.905,180.0,top
U4,144.6875,-79.4975,270.0,top
U5,160.7575,-79.1325,90.0,top
U6,116.7875,-95.19,0.0,top
U7,123.325,-109.3225,180.0,top
U8,141.465,-64.825,180.0,top
U9,158.4425,-91.7675,0.0,top
UE1,109.2,-106.5225,90.0,top
UE2,114.745,-106.5725,90.0,top
